1461183973,-83,-82,6.551
1461183980,-84,-80,5.043
1461183983,-80,-80,4.680
1461183984,-74,-79,7.833
1461183985,-72,-80,5.161
1461183986,-68,-82,9.245
1461183987,-69,-83,9.339
1461183988,-67,-80,5.968
1461183989,-70,-80,8.626,0.89791059494
1461183990,-70,-79,6.761
1461183991,-67,-79,14.326
1461183992,-68,-79,1.948
1461183993,-67,-78,6.994
1461183994,-68,-78,6.318
1461183995,-69,-76,5.225
1461183996,-69,-78,11.641
1461183997,-69,-79,5.411
1461183998,-68,-79,5.266
1461183999,-67,-79,5.338
1461184004,-74,-78,162.911
1461184005,-75,-78,525.635
1461184008,-80,-78,32.614
1461184011,-81,-75,262.476
1461184016,-82,-80,5.915
1461184021,-82,-83,8.893
1461184022,-82,-83,5.824
1461184023,-80,-83,5.411
1461184024,-77,-81,4.232
1461184025,-73,-79,4.969
1461184026,-72,-77,5.445
1461184027,-70,-76,5.702
1461184028,-72,-77,3.724
1461184029,-73,-77,6.387
1461184030,-71,-77,4.895
1461184031,-72,-77,5.296
1461184032,-71,-77,4.978
1461184033,-71,-78,4.909
1461184034,-71,-80,6.622
1461184035,-70,-80,4.568
1461184036,-69,-78,6.112
1461184037,-69,-80,30.638
1461184038,-69,-78,4.961
1461184039,-69,-77,4.116
1461184040,-69,-79,9.283
1461184041,-69,-79,6.723
1461184042,-69,-79,8.175
1461184043,-71,-80,15.840
1461184056,-82,-84,12.677
1461184059,-82,-83,5.583
1461184060,-82,-81,2.928
1461184063,-77,-79,4.421
1461184064,-72,-79,5.866
1461184065,-70,-77,3.198
1461184066,-71,-77,4.831
1461184067,-69,-76,4.641
1461184068,-68,-78,6.405,0.615565299988
1461184069,-71,-78,8.058
1461184070,-72,-78,5.165
1461184071,-71,-80,11.282
1461184072,-70,-80,4.526
1461184073,-71,-83,11.060
1461184074,-70,-83,4.720
1461184075,-69,-85,12.992
1461184076,-73,-85,4.509
1461184077,-73,-85,3.839
1461184078,-72,-85,4.125
1461184079,-70,-85,4.859
1461184080,-70,-85,5.046
1461184081,-71,-85,4.284
1461184082,-72,-85,24.329
1461184083,-77,-85,64.202
1461184084,-79,-85,57.584
1461184085,-81,-85,38.297
1461184088,-70,-84,8.622
1461184089,-65,-84,7.430
1461184090,-58,-84,2.886
1461184091,-60,-84,6.693
1461184092,-58,-83,5.105
1461184095,-56,-81,8.277
1461184096,-56,-81,5.112
1461184097,-58,-80,4.974
1461184100,-60,-79,27.576
1461184103,-56,-80,5.038
1461184104,-52,-80,4.558
1461184105,-51,-81,7.778
1461184106,-53,-81,6.444
1461184107,-50,-81,5.054
1461184108,-50,-83,1.338,0.594130992889
1461184109,-52,-82,5.658
1461184110,-53,-83,5.317
1461184111,-54,-84,3.998
1461184112,-57,-84,5.257
1461184113,-53,-83,7.511
1461184114,-48,-82,4.578
1461184115,-49,-81,4.308
1461184116,-51,-81,16.011
1461184117,-53,-80,4.479
1461184118,-53,-79,5.140
1461184119,-55,-80,4.740
1461184120,-52,-80,3.958
1461184121,-47,-81,6.346
1461184124,-15,-83,5.952
1461184129,-58,-57,76.732
1461184130,-71,-60,9.781
1461184133,-83,-70,56.161
1461184134,-83,-73,18.230
1461184135,-82,-76,33.780
1461184136,-82,-80,79.562
1461184137,-82,-80,100.020
1461184142,-83,-83,9.675
1461184143,-79,-83,10.520
1461184144,-73,-83,4.242
1461184145,-70,-84,6.098
1461184146,-69,-82,4.785
1461184147,-69,-82,4.743
1461184148,-70,-83,4.031
1461184149,-70,-83,4.754
1461184150,-71,-83,10.640
1461184151,-71,-83,6.001
1461184152,-71,-83,3.912
1461184153,-69,-83,4.183
1461184154,-69,-86,2.176
1461184155,-68,-87,3.928
1461184156,-67,-86,4.110
1461184157,-68,-87,4.354
1461184158,-69,-87,4.374
1461184159,-71,-87,1.892
1461184160,-70,-88,4.700
1461184161,-70,-88,9.959
1461184162,-70,-87,2.791
1461184163,-73,-87,20.265
1461184164,-76,-87,23.872
1461184165,-78,-87,31.915
1461184170,-80,-85,8.133
1461184171,-80,-85,7.682
1461184172,-80,-85,4.083
1461184173,-80,-85,45.892
1461184174,-80,-85,86.599
1461184175,-81,-85,39.120
1461184176,-81,-85,36.825
1461184177,-82,-85,4.697
1461184178,-82,-87,5.063
1461184179,-82,-86,4.788
1461184180,-81,-87,6.814
1461184183,-76,-86,6.172
1461184184,-56,-86,3.959
1461184185,-50,-86,2.067
